,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,305,313,31.0,19.0,8.0,0.0,7164.0,1701.0,3500.0,3000.0,174.0,14.666666666666666,103.33723973011162,68.27665753698508,35.06058219312654,31.0,19.0,8.0,0.0,7164.0,1701.0,3500.0,3000.0,174.0,14.666666666666666,103.33723973011162,68.27665753698508,35.06058219312654,f,-8
1,307,317,31.0,19.0,8.0,0.0,7164.0,1701.0,3500.0,3000.0,174.0,14.666666666666666,103.33723973011162,68.27665753698508,35.06058219312654,31.0,19.0,8.0,0.0,7164.0,1701.0,3500.0,3000.0,174.0,14.666666666666666,103.33723973011162,68.27665753698508,35.06058219312654,f,-10
2,163,256,26.0,17.0,10.0,0.0,6763.0,1503.0,3440.0,2700.0,88.0,17.333333333333332,86.30850098674217,89.3061495555276,-2.997648568785403,26.0,17.0,10.0,0.0,6763.0,1503.0,3440.0,2700.0,88.0,17.333333333333332,86.30850098674217,89.3061495555276,-2.997648568785403,qf,-93
3,192,360,26.0,17.0,10.0,0.0,6763.0,1503.0,3440.0,2700.0,88.0,17.333333333333332,86.30850098674217,89.3061495555276,-2.997648568785403,26.0,17.0,10.0,0.0,6763.0,1503.0,3440.0,2700.0,88.0,17.333333333333332,86.30850098674217,89.3061495555276,-2.997648568785403,qf,-168
4,235,305,20.0,16.0,11.0,0.0,6311.0,1410.0,3300.0,2300.0,136.0,21.333333333333332,67.9943870869753,48.30122189154929,19.69316519542599,20.0,16.0,11.0,0.0,6311.0,1410.0,3300.0,2300.0,136.0,21.333333333333332,67.9943870869753,48.30122189154929,19.69316519542599,qf,-70
5,305,235,20.0,16.0,11.0,0.0,6311.0,1410.0,3300.0,2300.0,136.0,21.333333333333332,67.9943870869753,48.30122189154929,19.69316519542599,20.0,16.0,11.0,0.0,6311.0,1410.0,3300.0,2300.0,136.0,21.333333333333332,67.9943870869753,48.30122189154929,19.69316519542599,qf,70
6,250,255,20.0,16.0,11.0,0.0,6311.0,1410.0,3300.0,2300.0,136.0,21.333333333333332,67.9943870869753,48.30122189154929,19.69316519542599,20.0,16.0,11.0,0.0,6311.0,1410.0,3300.0,2300.0,136.0,21.333333333333332,67.9943870869753,48.30122189154929,19.69316519542599,qf,-5
7,256,370,24.0,17.0,10.0,0.0,7067.0,1635.0,3440.0,2750.0,102.0,15.666666666666666,117.63216257927282,73.71851611462218,43.91364646465065,24.0,17.0,10.0,0.0,7067.0,1635.0,3440.0,2750.0,102.0,15.666666666666666,117.63216257927282,73.71851611462218,43.91364646465065,qf,-114
8,237,340,24.0,17.0,10.0,0.0,7067.0,1635.0,3440.0,2750.0,102.0,15.666666666666666,117.63216257927282,73.71851611462218,43.91364646465065,24.0,17.0,10.0,0.0,7067.0,1635.0,3440.0,2750.0,102.0,15.666666666666666,117.63216257927282,73.71851611462218,43.91364646465065,qf,-103
9,255,445,33.0,18.0,9.0,0.0,6910.0,1725.0,3560.0,2750.0,45.0,15.666666666666666,94.38228065738042,64.61048198165214,29.77179867572828,33.0,18.0,9.0,0.0,6910.0,1725.0,3560.0,2750.0,45.0,15.666666666666666,94.38228065738042,64.61048198165214,29.77179867572828,qf,-190
10,305,420,25.0,18.0,9.0,0.0,7001.0,1659.0,3580.0,2750.0,56.0,13.666666666666666,99.0276277416786,71.36312139913176,27.664506342546844,25.0,18.0,9.0,0.0,7001.0,1659.0,3580.0,2750.0,56.0,13.666666666666666,99.0276277416786,71.36312139913176,27.664506342546844,qf,-115
