,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,85,165,15.0,4.0,10.0,1.0,2551.0,602.0,1000.0,900.0,81.0,22.0,36.42150027439181,65.13054291688833,-28.709042642496538,15.0,4.0,10.0,1.0,2551.0,602.0,1000.0,900.0,81.0,22.0,36.42150027439181,65.13054291688833,-28.709042642496538,qm,-80
1,173,245,34.0,5.0,9.0,1.0,2630.0,663.0,1020.0,950.0,270.0,15.666666666666666,59.57292722728604,68.28304465185796,-8.710117424571914,34.0,5.0,9.0,1.0,2630.0,663.0,1020.0,950.0,270.0,15.666666666666666,59.57292722728604,68.28304465185796,-8.710117424571914,qm,-72
2,15,222,26.0,6.0,7.0,2.0,2407.0,576.0,1320.0,800.0,22.0,17.0,17.176729075990803,47.3481305826521,-30.1714015066613,26.0,6.0,7.0,2.0,2407.0,576.0,1320.0,800.0,22.0,17.0,17.176729075990803,47.3481305826521,-30.1714015066613,qm,-207
3,255,145,27.0,7.0,7.0,1.0,3296.0,765.0,1500.0,1400.0,46.0,12.666666666666666,92.89883119581452,90.65034668985527,2.2484845059592593,27.0,7.0,7.0,1.0,3296.0,765.0,1500.0,1400.0,46.0,12.666666666666666,92.89883119581452,90.65034668985527,2.2484845059592593,qm,110
4,90,135,14.0,4.0,9.0,2.0,2294.0,387.0,1100.0,700.0,39.0,21.666666666666668,42.856147087803485,59.21907631363134,-16.36292922582786,14.0,4.0,9.0,2.0,2294.0,387.0,1100.0,700.0,39.0,21.666666666666668,42.856147087803485,59.21907631363134,-16.36292922582786,qm,-45
5,195,205,25.0,4.0,10.0,1.0,3118.0,526.0,1420.0,1350.0,33.0,20.333333333333332,66.62257305955046,81.4742785696164,-14.85170551006596,25.0,4.0,10.0,1.0,3118.0,526.0,1420.0,1350.0,33.0,20.333333333333332,66.62257305955046,81.4742785696164,-14.85170551006596,qm,-10
6,145,110,31.0,7.0,7.0,1.0,2334.0,544.0,1140.0,850.0,94.0,14.0,44.61639817598003,51.12493959829612,-6.5085414223160925,31.0,7.0,7.0,1.0,2334.0,544.0,1140.0,850.0,94.0,14.0,44.61639817598003,51.12493959829612,-6.5085414223160925,qm,35
7,281,190,30.0,8.0,7.0,0.0,3416.0,960.0,1680.0,1150.0,226.0,11.0,84.56202407933978,69.72106132411436,14.840962755225421,30.0,8.0,7.0,0.0,3416.0,960.0,1680.0,1150.0,226.0,11.0,84.56202407933978,69.72106132411436,14.840962755225421,qm,91
8,250,325,30.0,7.0,6.0,1.0,3222.0,394.0,1380.0,1450.0,52.0,13.0,94.59974569103377,96.41259019282477,-1.812844501790991,30.0,7.0,6.0,1.0,3222.0,394.0,1380.0,1450.0,52.0,13.0,94.59974569103377,96.41259019282477,-1.812844501790991,qm,-75
9,315,155,30.0,9.0,6.0,0.0,3308.0,942.0,1520.0,1300.0,43.0,10.333333333333334,86.37242791017992,45.44627958358081,40.92614832659912,30.0,9.0,6.0,0.0,3308.0,942.0,1520.0,1300.0,43.0,10.333333333333334,86.37242791017992,45.44627958358081,40.92614832659912,qm,160
10,215,140,40.0,12.0,3.0,0.0,2974.0,630.0,1380.0,1300.0,44.0,5.0,70.23839831851545,29.19424384719528,41.04415447132017,40.0,12.0,3.0,0.0,2974.0,630.0,1380.0,1300.0,44.0,5.0,70.23839831851545,29.19424384719528,41.04415447132017,qm,75
11,286,345,40.0,7.0,7.0,0.0,3026.0,596.0,1360.0,1100.0,286.0,11.333333333333334,88.71633698915389,93.31563952738192,-4.599302538228035,40.0,7.0,7.0,0.0,3026.0,596.0,1360.0,1100.0,286.0,11.333333333333334,88.71633698915389,93.31563952738192,-4.599302538228035,qm,-59
12,210,138,31.0,10.0,5.0,0.0,3056.0,811.0,1480.0,1100.0,31.0,11.333333333333334,76.9743539525689,35.16921089574396,41.80514305682495,31.0,10.0,5.0,0.0,3056.0,811.0,1480.0,1100.0,31.0,11.333333333333334,76.9743539525689,35.16921089574396,41.80514305682495,qm,72
13,145,145,12.0,3.0,9.0,3.0,2294.0,325.0,1080.0,850.0,44.0,21.666666666666668,48.996614446672176,52.57897437710648,-3.5823599304343077,12.0,3.0,9.0,3.0,2294.0,325.0,1080.0,850.0,44.0,21.666666666666668,48.996614446672176,52.57897437710648,-3.5823599304343077,qm,0
