,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,222,343,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,f,-121
1,316,220,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,f,96
2,284,294,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,f,-10
3,238,445,30.0,16.0,14.0,0.0,7232.0,1699.0,3700.0,2700.0,87.0,23.0,88.52921849380603,78.41504999293572,10.114168500870312,30.0,16.0,14.0,0.0,7232.0,1699.0,3700.0,2700.0,87.0,23.0,88.52921849380603,78.41504999293572,10.114168500870312,qf,-207
4,286,473,30.0,16.0,14.0,0.0,7232.0,1699.0,3700.0,2700.0,87.0,23.0,88.52921849380603,78.41504999293572,10.114168500870312,30.0,16.0,14.0,0.0,7232.0,1699.0,3700.0,2700.0,87.0,23.0,88.52921849380603,78.41504999293572,10.114168500870312,qf,-187
5,308,452,26.0,21.0,9.0,0.0,7960.0,1628.0,3820.0,3450.0,100.0,9.333333333333334,101.06019440815005,72.1779388840241,28.882255524125963,26.0,21.0,9.0,0.0,7960.0,1628.0,3820.0,3450.0,100.0,9.333333333333334,101.06019440815005,72.1779388840241,28.882255524125963,qf,-144
6,308,327,26.0,21.0,9.0,0.0,7960.0,1628.0,3820.0,3450.0,100.0,9.333333333333334,101.06019440815005,72.1779388840241,28.882255524125963,26.0,21.0,9.0,0.0,7960.0,1628.0,3820.0,3450.0,100.0,9.333333333333334,101.06019440815005,72.1779388840241,28.882255524125963,qf,-19
7,276,222,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,qf,54
8,299,305,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,qf,-6
9,284,260,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,32.0,18.0,12.0,0.0,6982.0,1408.0,3280.0,3000.0,262.0,20.0,78.10539054240802,61.8213746276024,16.284015914805614,qf,24
