,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,271,305,33.0,20.0,16.0,0.0,6700.0,1025.0,3180.0,2550.0,180.0,15.666666666666666,73.10519256081888,38.71193187396335,34.393260686855534,20.0,22.0,12.0,0.0,6862.0,1108.0,3480.0,2600.0,37.0,12.333333333333334,88.99231973385373,47.20212636600508,41.79019336784864,f,-34
1,313,330,33.0,20.0,16.0,0.0,6700.0,1025.0,3180.0,2550.0,180.0,15.666666666666666,73.10519256081888,38.71193187396335,34.393260686855534,20.0,22.0,12.0,0.0,6862.0,1108.0,3480.0,2600.0,37.0,12.333333333333334,88.99231973385373,47.20212636600508,41.79019336784864,f,-17
2,154,245,26.0,22.0,14.0,0.0,6212.0,863.0,3300.0,2200.0,52.0,13.333333333333334,63.29536166535132,34.18744203335434,29.10791963199699,20.0,22.0,12.0,0.0,6862.0,1108.0,3480.0,2600.0,37.0,12.333333333333334,88.99231973385373,47.20212636600508,41.79019336784864,qf,-91
3,277,330,26.0,22.0,14.0,0.0,6212.0,863.0,3300.0,2200.0,52.0,13.333333333333334,63.29536166535132,34.18744203335434,29.10791963199699,20.0,22.0,12.0,0.0,6862.0,1108.0,3480.0,2600.0,37.0,12.333333333333334,88.99231973385373,47.20212636600508,41.79019336784864,qf,-53
4,195,273,28.0,22.0,13.0,0.0,6555.0,747.0,3140.0,2700.0,45.0,10.333333333333334,72.89160611783736,54.629896222224545,18.26170989561281,32.0,20.0,16.0,0.0,6142.0,795.0,3140.0,2300.0,117.0,17.666666666666668,63.7804696673162,44.16218363545942,19.618286031856783,qf,-78
5,230,167,28.0,22.0,13.0,0.0,6555.0,747.0,3140.0,2700.0,45.0,10.333333333333334,72.89160611783736,54.629896222224545,18.26170989561281,32.0,20.0,16.0,0.0,6142.0,795.0,3140.0,2300.0,117.0,17.666666666666668,63.7804696673162,44.16218363545942,19.618286031856783,qf,63
6,255,326,28.0,22.0,13.0,0.0,6555.0,747.0,3140.0,2700.0,45.0,10.333333333333334,72.89160611783736,54.629896222224545,18.26170989561281,32.0,20.0,16.0,0.0,6142.0,795.0,3140.0,2300.0,117.0,17.666666666666668,63.7804696673162,44.16218363545942,19.618286031856783,qf,-71
7,195,259,18.0,21.0,15.0,0.0,6840.0,788.0,3320.0,2600.0,40.0,12.666666666666666,79.54974425945211,59.32786545383103,20.22187880562109,26.0,21.0,15.0,0.0,6858.0,1052.0,3460.0,2600.0,113.0,13.333333333333334,73.32658680253907,58.871234498589985,14.45535230394909,qf,-64
8,305,293,18.0,21.0,15.0,0.0,6840.0,788.0,3320.0,2600.0,40.0,12.666666666666666,79.54974425945211,59.32786545383103,20.22187880562109,26.0,21.0,15.0,0.0,6858.0,1052.0,3460.0,2600.0,113.0,13.333333333333334,73.32658680253907,58.871234498589985,14.45535230394909,qf,12
9,255,219,18.0,21.0,15.0,0.0,6840.0,788.0,3320.0,2600.0,40.0,12.666666666666666,79.54974425945211,59.32786545383103,20.22187880562109,26.0,21.0,15.0,0.0,6858.0,1052.0,3460.0,2600.0,113.0,13.333333333333334,73.32658680253907,58.871234498589985,14.45535230394909,qf,36
10,295,260,33.0,20.0,16.0,0.0,6700.0,1025.0,3180.0,2550.0,180.0,15.666666666666666,73.10519256081888,38.71193187396335,34.393260686855534,22.0,20.0,16.0,0.0,6456.0,841.0,3120.0,2400.0,46.0,16.333333333333332,64.15386619706356,58.992715485465254,5.16115071159832,qf,35
