,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,280,320,33.0,16.0,12.0,2.0,7472.0,1868.0,3680.0,3000.0,12.0,19.0,95.49978449197472,76.09686396038708,19.40292053158765,33.0,16.0,12.0,2.0,7472.0,1868.0,3680.0,3000.0,12.0,19.0,95.49978449197472,76.09686396038708,19.40292053158765,f,-40
1,280,313,33.0,16.0,12.0,2.0,7472.0,1868.0,3680.0,3000.0,12.0,19.0,95.49978449197472,76.09686396038708,19.40292053158765,33.0,16.0,12.0,2.0,7472.0,1868.0,3680.0,3000.0,12.0,19.0,95.49978449197472,76.09686396038708,19.40292053158765,f,-33
2,260,259,15.0,18.0,11.0,1.0,7718.0,1635.0,3880.0,3100.0,23.0,13.333333333333334,113.78778802250247,73.82563625302583,39.962151769476634,15.0,18.0,11.0,1.0,7718.0,1635.0,3880.0,3100.0,23.0,13.333333333333334,113.78778802250247,73.82563625302583,39.962151769476634,qf,1
3,287,267,15.0,18.0,11.0,1.0,7718.0,1635.0,3880.0,3100.0,23.0,13.333333333333334,113.78778802250247,73.82563625302583,39.962151769476634,15.0,18.0,11.0,1.0,7718.0,1635.0,3880.0,3100.0,23.0,13.333333333333334,113.78778802250247,73.82563625302583,39.962151769476634,qf,20
4,206,255,41.0,15.0,13.0,2.0,7313.0,1959.0,3800.0,2750.0,43.0,21.333333333333332,101.23002357670326,95.371403564,5.85862001270327,41.0,15.0,13.0,2.0,7313.0,1959.0,3800.0,2750.0,43.0,21.333333333333332,101.23002357670326,95.371403564,5.85862001270327,qf,-49
5,316,265,41.0,15.0,13.0,2.0,7313.0,1959.0,3800.0,2750.0,43.0,21.333333333333332,101.23002357670326,95.371403564,5.85862001270327,41.0,15.0,13.0,2.0,7313.0,1959.0,3800.0,2750.0,43.0,21.333333333333332,101.23002357670326,95.371403564,5.85862001270327,qf,51
6,307,305,41.0,15.0,13.0,2.0,7313.0,1959.0,3800.0,2750.0,43.0,21.333333333333332,101.23002357670326,95.371403564,5.85862001270327,41.0,15.0,13.0,2.0,7313.0,1959.0,3800.0,2750.0,43.0,21.333333333333332,101.23002357670326,95.371403564,5.85862001270327,qf,2
7,301,435,14.0,18.0,11.0,1.0,6954.0,1620.0,3600.0,2700.0,24.0,16.333333333333332,80.5644932622587,71.33166958349004,9.232823678768648,14.0,18.0,11.0,1.0,6954.0,1620.0,3600.0,2700.0,24.0,16.333333333333332,80.5644932622587,71.33166958349004,9.232823678768648,qf,-134
8,245,343,14.0,18.0,11.0,1.0,6954.0,1620.0,3600.0,2700.0,24.0,16.333333333333332,80.5644932622587,71.33166958349004,9.232823678768648,14.0,18.0,11.0,1.0,6954.0,1620.0,3600.0,2700.0,24.0,16.333333333333332,80.5644932622587,71.33166958349004,9.232823678768648,qf,-98
9,273,455,39.0,17.0,13.0,0.0,7529.0,1461.0,3740.0,3050.0,24.0,18.0,96.13360574540764,86.61436876528508,9.519236980122557,39.0,17.0,13.0,0.0,7529.0,1461.0,3740.0,3050.0,24.0,18.0,96.13360574540764,86.61436876528508,9.519236980122557,qf,-182
