,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,267,4.0,16.0,8.0,0.0,5657.0,1267.0,3100.0,1850.0,47.0,12.666666666666666,86.25435772861105,57.538126199529984,28.716231529081067,4.0,16.0,8.0,0.0,5657.0,1267.0,3100.0,1850.0,47.0,12.666666666666666,86.25435772861105,57.538126199529984,28.716231529081067,f,-12
1,305,331,4.0,16.0,8.0,0.0,5657.0,1267.0,3100.0,1850.0,47.0,12.666666666666666,86.25435772861105,57.538126199529984,28.716231529081067,4.0,16.0,8.0,0.0,5657.0,1267.0,3100.0,1850.0,47.0,12.666666666666666,86.25435772861105,57.538126199529984,28.716231529081067,f,-26
2,195,335,24.0,14.0,10.0,0.0,4753.0,1041.0,2500.0,1600.0,113.0,17.333333333333332,62.308536146369995,58.98827017162396,3.3202659747460266,24.0,14.0,10.0,0.0,4753.0,1041.0,2500.0,1600.0,113.0,17.333333333333332,62.308536146369995,58.98827017162396,3.3202659747460266,qf,-140
3,305,514,32.0,13.0,11.0,0.0,4795.0,1001.0,2580.0,1650.0,70.0,21.666666666666668,58.66602581593449,62.20843239051731,-3.5424065745828224,32.0,13.0,11.0,0.0,4795.0,1001.0,2580.0,1650.0,70.0,21.666666666666668,58.66602581593449,62.20843239051731,-3.5424065745828224,qf,-209
4,450,308,31.0,14.0,10.0,0.0,5496.0,863.0,2800.0,2150.0,136.0,17.0,89.14603003649522,84.05001525043697,5.09601478605822,31.0,14.0,10.0,0.0,5496.0,863.0,2800.0,2150.0,136.0,17.0,89.14603003649522,84.05001525043697,5.09601478605822,qf,142
5,265,238,31.0,14.0,10.0,0.0,5496.0,863.0,2800.0,2150.0,136.0,17.0,89.14603003649522,84.05001525043697,5.09601478605822,31.0,14.0,10.0,0.0,5496.0,863.0,2800.0,2150.0,136.0,17.0,89.14603003649522,84.05001525043697,5.09601478605822,qf,27
6,255,250,15.0,14.0,10.0,0.0,5352.0,1169.0,2780.0,1950.0,187.0,18.333333333333332,82.90977239334318,64.72840301160551,18.18136938173767,15.0,14.0,10.0,0.0,5352.0,1169.0,2780.0,1950.0,187.0,18.333333333333332,82.90977239334318,64.72840301160551,18.18136938173767,qf,5
7,268,205,15.0,14.0,10.0,0.0,5352.0,1169.0,2780.0,1950.0,187.0,18.333333333333332,82.90977239334318,64.72840301160551,18.18136938173767,15.0,14.0,10.0,0.0,5352.0,1169.0,2780.0,1950.0,187.0,18.333333333333332,82.90977239334318,64.72840301160551,18.18136938173767,qf,63
8,235,255,20.0,17.0,7.0,0.0,5321.0,935.0,2880.0,1850.0,11.0,10.666666666666666,74.37068813684145,51.794263937409454,22.576424199432,20.0,17.0,7.0,0.0,5321.0,935.0,2880.0,1850.0,11.0,10.666666666666666,74.37068813684145,51.794263937409454,22.576424199432,qf,-20
9,185,285,25.0,16.0,7.0,0.0,5341.0,910.0,2720.0,2000.0,11.0,13.666666666666666,81.78030825901399,59.461021185998504,22.319287073015488,25.0,16.0,7.0,0.0,5341.0,910.0,2720.0,2000.0,11.0,13.666666666666666,81.78030825901399,59.461021185998504,22.319287073015488,qf,-100
