,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,195,325,23.0,8.0,13.0,0.0,3856.0,762.0,2080.0,1250.0,76.0,16.333333333333332,47.88452711774389,70.03196323159484,-22.147436113850944,39.0,10.0,11.0,0.0,4492.0,914.0,2160.0,1450.0,437.0,10.666666666666666,81.33957569050716,87.62062220234971,-6.281046511842557,ef,-130
1,149,245,40.0,11.0,10.0,0.0,4465.0,971.0,2180.0,1750.0,75.0,11.666666666666666,79.86584380507809,64.61151393544783,15.254329869630256,39.0,12.0,9.0,0.0,4055.0,681.0,1900.0,1450.0,200.0,8.666666666666666,52.659512244599426,60.73767564438189,-8.078163399782467,ef,-96
2,215,255,48.0,10.0,11.0,0.0,4414.0,731.0,2120.0,1800.0,29.0,14.0,90.31441933336146,61.564510970223296,28.749908363138175,55.0,11.0,10.0,0.0,4096.0,1035.0,2240.0,1450.0,101.0,13.666666666666666,56.02773774627574,73.86018121674319,-17.832443470467435,ef,-40
3,255,265,41.0,9.0,12.0,0.0,3942.0,702.0,2140.0,1300.0,77.0,16.333333333333332,64.36637773403072,45.117308812911865,19.249068921118848,32.0,13.0,8.0,0.0,4277.0,810.0,2220.0,1400.0,187.0,8.666666666666666,60.82772073341201,69.74193874167581,-8.91421800826381,ef,-10
4,286,210,40.0,11.0,10.0,0.0,4465.0,971.0,2180.0,1750.0,75.0,11.666666666666666,79.86584380507809,64.61151393544783,15.254329869630256,23.0,8.0,13.0,0.0,3856.0,762.0,2080.0,1250.0,76.0,16.333333333333332,47.88452711774389,70.03196323159484,-22.147436113850944,ef,76
5,305,305,41.0,9.0,12.0,0.0,3942.0,702.0,2140.0,1300.0,77.0,16.333333333333332,64.36637773403072,45.117308812911865,19.249068921118848,48.0,10.0,11.0,0.0,4414.0,731.0,2120.0,1800.0,29.0,14.0,90.31441933336146,61.564510970223296,28.749908363138175,ef,0
6,305,305,41.0,9.0,12.0,0.0,3942.0,702.0,2140.0,1300.0,77.0,16.333333333333332,64.36637773403072,45.117308812911865,19.249068921118848,48.0,10.0,11.0,0.0,4414.0,731.0,2120.0,1800.0,29.0,14.0,90.31441933336146,61.564510970223296,28.749908363138175,ef,0
7,230,355,41.0,9.0,12.0,0.0,3942.0,702.0,2140.0,1300.0,77.0,16.333333333333332,64.36637773403072,45.117308812911865,19.249068921118848,48.0,10.0,11.0,0.0,4414.0,731.0,2120.0,1800.0,29.0,14.0,90.31441933336146,61.564510970223296,28.749908363138175,ef,-125
8,300,245,55.0,11.0,10.0,0.0,4096.0,1035.0,2240.0,1450.0,101.0,13.666666666666666,56.02773774627574,73.86018121674319,-17.832443470467435,32.0,13.0,8.0,0.0,4277.0,810.0,2220.0,1400.0,187.0,8.666666666666666,60.82772073341201,69.74193874167581,-8.91421800826381,f,55
9,230,224,55.0,11.0,10.0,0.0,4096.0,1035.0,2240.0,1450.0,101.0,13.666666666666666,56.02773774627574,73.86018121674319,-17.832443470467435,39.0,10.0,11.0,0.0,4492.0,914.0,2160.0,1450.0,437.0,10.666666666666666,81.33957569050716,87.62062220234971,-6.281046511842557,f,6
10,230,380,55.0,11.0,10.0,0.0,4096.0,1035.0,2240.0,1450.0,101.0,13.666666666666666,56.02773774627574,73.86018121674319,-17.832443470467435,39.0,10.0,11.0,0.0,4492.0,914.0,2160.0,1450.0,437.0,10.666666666666666,81.33957569050716,87.62062220234971,-6.281046511842557,f,-150
11,246,376,39.0,12.0,9.0,0.0,4055.0,681.0,1900.0,1450.0,200.0,8.666666666666666,52.659512244599426,60.73767564438189,-8.078163399782467,39.0,10.0,11.0,0.0,4492.0,914.0,2160.0,1450.0,437.0,10.666666666666666,81.33957569050716,87.62062220234971,-6.281046511842557,qf,-130
