,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,269,27.0,23.0,12.0,1.0,8670.0,1678.0,4420.0,3350.0,65.0,9.0,99.22434946348885,74.59083411467616,24.633515348812693,32.0,18.0,18.0,0.0,7590.0,1378.0,4040.0,2650.0,160.0,20.333333333333332,71.31363384474416,63.65155384076263,7.662080003981527,f,-14
1,290,276,27.0,23.0,12.0,1.0,8670.0,1678.0,4420.0,3350.0,65.0,9.0,99.22434946348885,74.59083411467616,24.633515348812693,32.0,18.0,18.0,0.0,7590.0,1378.0,4040.0,2650.0,160.0,20.333333333333332,71.31363384474416,63.65155384076263,7.662080003981527,f,14
2,305,306,27.0,23.0,12.0,1.0,8670.0,1678.0,4420.0,3350.0,65.0,9.0,99.22434946348885,74.59083411467616,24.633515348812693,32.0,18.0,18.0,0.0,7590.0,1378.0,4040.0,2650.0,160.0,20.333333333333332,71.31363384474416,63.65155384076263,7.662080003981527,f,-1
3,210,330,7.0,22.0,14.0,0.0,8074.0,1396.0,4160.0,3100.0,34.0,13.333333333333334,79.3782790306487,65.82505906584608,13.553219964802638,20.0,19.0,16.0,0.0,8008.0,1369.0,4160.0,2950.0,33.0,19.666666666666668,86.30700823230586,82.28866584513229,4.018342387173559,qf,-120
4,255,305,7.0,22.0,14.0,0.0,8074.0,1396.0,4160.0,3100.0,34.0,13.333333333333334,79.3782790306487,65.82505906584608,13.553219964802638,20.0,19.0,16.0,0.0,8008.0,1369.0,4160.0,2950.0,33.0,19.666666666666668,86.30700823230586,82.28866584513229,4.018342387173559,qf,-50
5,236,322,10.0,22.0,14.0,0.0,8425.0,1561.0,4140.0,3500.0,85.0,12.0,90.94788422149473,64.64074525872428,26.30713896277044,32.0,18.0,18.0,0.0,7590.0,1378.0,4040.0,2650.0,160.0,20.333333333333332,71.31363384474416,63.65155384076263,7.662080003981527,qf,-86
6,294,328,10.0,22.0,14.0,0.0,8425.0,1561.0,4140.0,3500.0,85.0,12.0,90.94788422149473,64.64074525872428,26.30713896277044,32.0,18.0,18.0,0.0,7590.0,1378.0,4040.0,2650.0,160.0,20.333333333333332,71.31363384474416,63.65155384076263,7.662080003981527,qf,-34
7,195,311,8.0,17.0,18.0,1.0,8140.0,1713.0,4000.0,3200.0,30.0,22.666666666666668,92.62207647865972,71.62291062364773,20.999165855012006,27.0,23.0,12.0,1.0,8670.0,1678.0,4420.0,3350.0,65.0,9.0,99.22434946348885,74.59083411467616,24.633515348812693,qf,-116
8,195,260,8.0,17.0,18.0,1.0,8140.0,1713.0,4000.0,3200.0,30.0,22.666666666666668,92.62207647865972,71.62291062364773,20.999165855012006,27.0,23.0,12.0,1.0,8670.0,1678.0,4420.0,3350.0,65.0,9.0,99.22434946348885,74.59083411467616,24.633515348812693,qf,-65
9,195,305,8.0,25.0,11.0,0.0,7989.0,1267.0,3640.0,3700.0,49.0,9.666666666666666,80.82294097989765,47.722414903388916,33.100526076508736,20.0,22.0,14.0,0.0,8162.0,1731.0,4080.0,3250.0,32.0,12.666666666666666,90.9036055136282,66.46426945792189,24.43933605570632,qf,-110
