,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,395,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,f,-140
1,305,305,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,f,0
2,306,255,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,f,51
3,361,445,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,28.0,21.0,12.0,3.0,8734.0,1798.0,4140.0,4000.0,49.0,10.666666666666666,93.18421453299777,75.87555106786967,17.30866346512811,f,-84
4,237,445,10.0,18.0,15.0,3.0,8638.0,1565.0,4060.0,3950.0,33.0,14.333333333333334,88.77508512719142,74.09911589412786,14.675969233063567,10.0,18.0,15.0,3.0,8638.0,1565.0,4060.0,3950.0,33.0,14.333333333333334,88.77508512719142,74.09911589412786,14.675969233063567,qf,-208
5,285,310,10.0,18.0,15.0,3.0,8638.0,1565.0,4060.0,3950.0,33.0,14.333333333333334,88.77508512719142,74.09911589412786,14.675969233063567,10.0,18.0,15.0,3.0,8638.0,1565.0,4060.0,3950.0,33.0,14.333333333333334,88.77508512719142,74.09911589412786,14.675969233063567,qf,-25
6,315,287,16.0,21.0,13.0,2.0,8504.0,1600.0,3960.0,3750.0,49.0,11.0,87.94325334415585,67.02182662799628,20.92142671615958,16.0,21.0,13.0,2.0,8504.0,1600.0,3960.0,3750.0,49.0,11.0,87.94325334415585,67.02182662799628,20.92142671615958,qf,28
7,195,294,16.0,21.0,13.0,2.0,8504.0,1600.0,3960.0,3750.0,49.0,11.0,87.94325334415585,67.02182662799628,20.92142671615958,16.0,21.0,13.0,2.0,8504.0,1600.0,3960.0,3750.0,49.0,11.0,87.94325334415585,67.02182662799628,20.92142671615958,qf,-99
8,310,311,16.0,21.0,13.0,2.0,8504.0,1600.0,3960.0,3750.0,49.0,11.0,87.94325334415585,67.02182662799628,20.92142671615958,16.0,21.0,13.0,2.0,8504.0,1600.0,3960.0,3750.0,49.0,11.0,87.94325334415585,67.02182662799628,20.92142671615958,qf,-1
9,195,235,33.0,16.0,17.0,3.0,8401.0,1602.0,4080.0,3600.0,46.0,18.333333333333332,78.48304287922697,80.20091111981523,-1.7178682405882597,33.0,16.0,17.0,3.0,8401.0,1602.0,4080.0,3600.0,46.0,18.333333333333332,78.48304287922697,80.20091111981523,-1.7178682405882597,qf,-40
10,165,256,33.0,16.0,17.0,3.0,8401.0,1602.0,4080.0,3600.0,46.0,18.333333333333332,78.48304287922697,80.20091111981523,-1.7178682405882597,33.0,16.0,17.0,3.0,8401.0,1602.0,4080.0,3600.0,46.0,18.333333333333332,78.48304287922697,80.20091111981523,-1.7178682405882597,qf,-91
