,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,467,494,45.0,19.0,9.0,2.0,9239.0,2121.0,4840.0,3100.0,229.0,15.333333333333334,115.73220551185666,79.58380342307917,36.148402088777495,37.0,18.0,12.0,0.0,9249.0,2005.0,4500.0,3400.0,589.0,15.666666666666666,123.45944067300513,90.6852768128327,32.77416386017243,f,-27
1,422,531,45.0,19.0,9.0,2.0,9239.0,2121.0,4840.0,3100.0,229.0,15.333333333333334,115.73220551185666,79.58380342307917,36.148402088777495,37.0,18.0,12.0,0.0,9249.0,2005.0,4500.0,3400.0,589.0,15.666666666666666,123.45944067300513,90.6852768128327,32.77416386017243,f,-109
2,395,509,27.0,16.0,14.0,0.0,8746.0,1977.0,4500.0,3400.0,156.0,28.0,107.81562485691558,97.70141185345454,10.11421300346104,37.0,18.0,12.0,0.0,9249.0,2005.0,4500.0,3400.0,589.0,15.666666666666666,123.45944067300513,90.6852768128327,32.77416386017243,qf,-114
3,421,502,27.0,16.0,14.0,0.0,8746.0,1977.0,4500.0,3400.0,156.0,28.0,107.81562485691558,97.70141185345454,10.11421300346104,37.0,18.0,12.0,0.0,9249.0,2005.0,4500.0,3400.0,589.0,15.666666666666666,123.45944067300513,90.6852768128327,32.77416386017243,qf,-81
4,395,466,32.0,17.0,12.0,1.0,8900.0,1946.0,4640.0,3350.0,155.0,22.666666666666668,115.702334599283,97.82222011422107,17.880114485061934,45.0,16.0,12.0,2.0,8942.0,1916.0,4200.0,3550.0,572.0,24.666666666666668,104.94243717836939,97.64898242840627,7.2934547499631135,qf,-71
5,465,463,32.0,17.0,12.0,1.0,8900.0,1946.0,4640.0,3350.0,155.0,22.666666666666668,115.702334599283,97.82222011422107,17.880114485061934,45.0,16.0,12.0,2.0,8942.0,1916.0,4200.0,3550.0,572.0,24.666666666666668,104.94243717836939,97.64898242840627,7.2934547499631135,qf,2
6,465,419,32.0,17.0,12.0,1.0,8900.0,1946.0,4640.0,3350.0,155.0,22.666666666666668,115.702334599283,97.82222011422107,17.880114485061934,45.0,16.0,12.0,2.0,8942.0,1916.0,4200.0,3550.0,572.0,24.666666666666668,104.94243717836939,97.64898242840627,7.2934547499631135,qf,46
7,445,454,25.0,16.0,13.0,1.0,8928.0,1901.0,4560.0,3500.0,253.0,21.333333333333332,104.50400624728367,105.5320037492545,-1.0279975019708303,45.0,19.0,9.0,2.0,9239.0,2121.0,4840.0,3100.0,229.0,15.333333333333334,115.73220551185666,79.58380342307917,36.148402088777495,qf,-9
8,269,463,35.0,17.0,12.0,1.0,9101.0,1981.0,4540.0,3350.0,506.0,12.333333333333334,105.3447507637462,91.73085560847727,13.613895155268926,45.0,19.0,9.0,2.0,9239.0,2121.0,4840.0,3100.0,229.0,15.333333333333334,115.73220551185666,79.58380342307917,36.148402088777495,qf,-194
9,276,456,17.0,21.0,8.0,1.0,9405.0,2185.0,4360.0,4000.0,315.0,17.0,128.68799273724002,91.27491637321403,37.41307636402596,18.0,19.0,11.0,0.0,9060.0,1654.0,4620.0,3650.0,125.0,15.333333333333334,110.11616372387454,79.78156781255898,30.334595911315557,qf,-180
