,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,408,290,37.0,17.0,6.0,1.0,6301.0,841.0,2840.0,2800.0,41.0,8.0,112.21944689576105,54.624932174846315,57.59451472091473,37.0,17.0,6.0,1.0,6301.0,841.0,2840.0,2800.0,41.0,8.0,112.21944689576105,54.624932174846315,57.59451472091473,f,118
1,451,305,37.0,17.0,6.0,1.0,6301.0,841.0,2840.0,2800.0,41.0,8.0,112.21944689576105,54.624932174846315,57.59451472091473,37.0,17.0,6.0,1.0,6301.0,841.0,2840.0,2800.0,41.0,8.0,112.21944689576105,54.624932174846315,57.59451472091473,f,146
2,295,194,24.0,12.0,11.0,1.0,6022.0,1234.0,3300.0,2300.0,7.0,9.666666666666666,97.72909106285432,80.7053885936437,17.023702469210615,24.0,12.0,11.0,1.0,6022.0,1234.0,3300.0,2300.0,7.0,9.666666666666666,97.72909106285432,80.7053885936437,17.023702469210615,qm,101
3,185,240,28.0,12.0,12.0,0.0,5668.0,1078.0,3000.0,2100.0,18.0,14.0,73.18251332409508,78.21820413487514,-5.035690810780056,28.0,12.0,12.0,0.0,5668.0,1078.0,3000.0,2100.0,18.0,14.0,73.18251332409508,78.21820413487514,-5.035690810780056,qm,-55
4,260,315,16.0,12.0,11.0,1.0,6119.0,1366.0,3100.0,2500.0,9.0,14.0,89.75701426079736,88.08422196263847,1.6727922981589007,16.0,12.0,11.0,1.0,6119.0,1366.0,3100.0,2500.0,9.0,14.0,89.75701426079736,88.08422196263847,1.6727922981589007,qm,-55
5,95,255,20.0,3.0,19.0,0.0,4471.0,671.0,2360.0,1750.0,11.0,29.0,49.30181288789095,107.40678280291604,-58.104969915025094,20.0,3.0,19.0,0.0,4471.0,671.0,2360.0,1750.0,11.0,29.0,49.30181288789095,107.40678280291604,-58.104969915025094,qm,-160
6,145,230,15.0,12.0,12.0,0.0,5752.0,1116.0,2820.0,2450.0,2.0,15.666666666666666,71.93658666846635,76.86275145897265,-4.926164790506317,15.0,12.0,12.0,0.0,5752.0,1116.0,2820.0,2450.0,2.0,15.666666666666666,71.93658666846635,76.86275145897265,-4.926164790506317,qm,-85
7,284,190,35.0,13.0,9.0,1.0,6015.0,747.0,2820.0,2600.0,45.0,13.333333333333334,101.91967632198528,74.48547660628601,27.43419971569928,35.0,13.0,9.0,1.0,6015.0,747.0,2820.0,2600.0,45.0,13.333333333333334,101.91967632198528,74.48547660628601,27.43419971569928,qm,94
8,205,235,18.0,12.0,12.0,0.0,6068.0,1317.0,3200.0,2250.0,13.0,16.0,85.76511417944342,73.34405361151865,12.421060567924762,18.0,12.0,12.0,0.0,6068.0,1317.0,3200.0,2250.0,13.0,16.0,85.76511417944342,73.34405361151865,12.421060567924762,qm,-30
9,195,280,12.0,9.0,13.0,0.0,4693.0,858.0,2380.0,1950.0,8.0,23.666666666666668,61.63224912850893,68.71042058252101,-7.078171454012074,12.0,9.0,13.0,0.0,4693.0,858.0,2380.0,1950.0,8.0,23.666666666666668,61.63224912850893,68.71042058252101,-7.078171454012074,qm,-85
