,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,215,271,23.0,22.0,11.0,3.0,6692.0,1500.0,3820.0,2050.0,22.0,9.666666666666666,86.32965151000239,56.28264942528162,30.04700208472077,23.0,22.0,11.0,3.0,6692.0,1500.0,3820.0,2050.0,22.0,9.666666666666666,86.32965151000239,56.28264942528162,30.04700208472077,f,-56
1,255,308,23.0,22.0,11.0,3.0,6692.0,1500.0,3820.0,2050.0,22.0,9.666666666666666,86.32965151000239,56.28264942528162,30.04700208472077,23.0,22.0,11.0,3.0,6692.0,1500.0,3820.0,2050.0,22.0,9.666666666666666,86.32965151000239,56.28264942528162,30.04700208472077,f,-53
2,96,319,4.0,14.0,19.0,3.0,5062.0,964.0,3380.0,1100.0,22.0,25.0,28.948908829819604,43.71264615121979,-14.763737321400185,4.0,14.0,19.0,3.0,5062.0,964.0,3380.0,1100.0,22.0,25.0,28.948908829819604,43.71264615121979,-14.763737321400185,qf,-223
3,97,257,4.0,14.0,19.0,3.0,5062.0,964.0,3380.0,1100.0,22.0,25.0,28.948908829819604,43.71264615121979,-14.763737321400185,4.0,14.0,19.0,3.0,5062.0,964.0,3380.0,1100.0,22.0,25.0,28.948908829819604,43.71264615121979,-14.763737321400185,qf,-160
4,185,237,20.0,18.0,16.0,2.0,5879.0,924.0,3400.0,1700.0,9.0,18.333333333333332,57.73053005289429,45.38490277397068,12.345627278923606,20.0,18.0,16.0,2.0,5879.0,924.0,3400.0,1700.0,9.0,18.333333333333332,57.73053005289429,45.38490277397068,12.345627278923606,qf,-52
5,235,107,20.0,18.0,16.0,2.0,5879.0,924.0,3400.0,1700.0,9.0,18.333333333333332,57.73053005289429,45.38490277397068,12.345627278923606,20.0,18.0,16.0,2.0,5879.0,924.0,3400.0,1700.0,9.0,18.333333333333332,57.73053005289429,45.38490277397068,12.345627278923606,qf,128
6,185,187,20.0,18.0,16.0,2.0,5879.0,924.0,3400.0,1700.0,9.0,18.333333333333332,57.73053005289429,45.38490277397068,12.345627278923606,20.0,18.0,16.0,2.0,5879.0,924.0,3400.0,1700.0,9.0,18.333333333333332,57.73053005289429,45.38490277397068,12.345627278923606,qf,-2
7,255,270,2.0,17.0,15.0,4.0,5407.0,1011.0,3140.0,1650.0,12.0,17.0,38.68788680609986,37.75704548996649,0.9308413161333805,2.0,17.0,15.0,4.0,5407.0,1011.0,3140.0,1650.0,12.0,17.0,38.68788680609986,37.75704548996649,0.9308413161333805,qf,-15
8,196,235,2.0,17.0,15.0,4.0,5407.0,1011.0,3140.0,1650.0,12.0,17.0,38.68788680609986,37.75704548996649,0.9308413161333805,2.0,17.0,15.0,4.0,5407.0,1011.0,3140.0,1650.0,12.0,17.0,38.68788680609986,37.75704548996649,0.9308413161333805,qf,-39
9,205,195,18.0,19.0,12.0,4.0,6266.0,1178.0,3600.0,2050.0,16.0,13.666666666666666,74.89783936471937,48.456273934115785,26.44156543060359,18.0,19.0,12.0,4.0,6266.0,1178.0,3600.0,2050.0,16.0,13.666666666666666,74.89783936471937,48.456273934115785,26.44156543060359,qf,10
