,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,269,33.0,22.0,14.0,0.0,7941.0,1475.0,3980.0,3200.0,21.0,9.666666666666666,91.4791251660967,63.836643699060765,27.64248146703592,33.0,22.0,14.0,0.0,7941.0,1475.0,3980.0,3200.0,21.0,9.666666666666666,91.4791251660967,63.836643699060765,27.64248146703592,f,-14
1,305,217,33.0,22.0,14.0,0.0,7941.0,1475.0,3980.0,3200.0,21.0,9.666666666666666,91.4791251660967,63.836643699060765,27.64248146703592,33.0,22.0,14.0,0.0,7941.0,1475.0,3980.0,3200.0,21.0,9.666666666666666,91.4791251660967,63.836643699060765,27.64248146703592,f,88
2,310,268,33.0,22.0,14.0,0.0,7941.0,1475.0,3980.0,3200.0,21.0,9.666666666666666,91.4791251660967,63.836643699060765,27.64248146703592,33.0,22.0,14.0,0.0,7941.0,1475.0,3980.0,3200.0,21.0,9.666666666666666,91.4791251660967,63.836643699060765,27.64248146703592,f,42
3,220,298,37.0,19.0,17.0,0.0,6947.0,1455.0,3440.0,2850.0,32.0,15.0,59.27114810764842,59.26684994089887,0.004298166749554373,37.0,19.0,17.0,0.0,6947.0,1455.0,3440.0,2850.0,32.0,15.0,59.27114810764842,59.26684994089887,0.004298166749554373,qf,-78
4,280,363,37.0,19.0,17.0,0.0,6947.0,1455.0,3440.0,2850.0,32.0,15.0,59.27114810764842,59.26684994089887,0.004298166749554373,37.0,19.0,17.0,0.0,6947.0,1455.0,3440.0,2850.0,32.0,15.0,59.27114810764842,59.26684994089887,0.004298166749554373,qf,-83
5,311,310,34.0,20.0,16.0,0.0,7427.0,1659.0,4020.0,2650.0,22.0,12.0,74.39466073149948,63.64186460860194,10.752796122897538,34.0,20.0,16.0,0.0,7427.0,1659.0,4020.0,2650.0,22.0,12.0,74.39466073149948,63.64186460860194,10.752796122897538,qf,1
6,270,305,34.0,20.0,16.0,0.0,7427.0,1659.0,4020.0,2650.0,22.0,12.0,74.39466073149948,63.64186460860194,10.752796122897538,34.0,20.0,16.0,0.0,7427.0,1659.0,4020.0,2650.0,22.0,12.0,74.39466073149948,63.64186460860194,10.752796122897538,qf,-35
7,205,255,34.0,20.0,16.0,0.0,7427.0,1659.0,4020.0,2650.0,22.0,12.0,74.39466073149948,63.64186460860194,10.752796122897538,34.0,20.0,16.0,0.0,7427.0,1659.0,4020.0,2650.0,22.0,12.0,74.39466073149948,63.64186460860194,10.752796122897538,qf,-50
8,235,305,33.0,19.0,17.0,0.0,8129.0,1499.0,4060.0,3300.0,24.0,14.333333333333334,95.2347130583081,77.43167635000533,17.803036708302773,33.0,19.0,17.0,0.0,8129.0,1499.0,4060.0,3300.0,24.0,14.333333333333334,95.2347130583081,77.43167635000533,17.803036708302773,qf,-70
9,185,255,33.0,19.0,17.0,0.0,8129.0,1499.0,4060.0,3300.0,24.0,14.333333333333334,95.2347130583081,77.43167635000533,17.803036708302773,33.0,19.0,17.0,0.0,8129.0,1499.0,4060.0,3300.0,24.0,14.333333333333334,95.2347130583081,77.43167635000533,17.803036708302773,qf,-70
10,241,215,40.0,17.0,19.0,0.0,6975.0,1198.0,3560.0,2700.0,25.0,16.333333333333332,67.90353487122881,64.25032063392699,3.653214237301821,40.0,17.0,19.0,0.0,6975.0,1198.0,3560.0,2700.0,25.0,16.333333333333332,67.90353487122881,64.25032063392699,3.653214237301821,qf,26
11,266,265,40.0,17.0,19.0,0.0,6975.0,1198.0,3560.0,2700.0,25.0,16.333333333333332,67.90353487122881,64.25032063392699,3.653214237301821,40.0,17.0,19.0,0.0,6975.0,1198.0,3560.0,2700.0,25.0,16.333333333333332,67.90353487122881,64.25032063392699,3.653214237301821,qf,1
12,135,136,27.0,19.0,17.0,0.0,6672.0,1056.0,3480.0,2550.0,22.0,14.333333333333334,54.154435827282974,55.66644362704981,-1.5120077997668357,27.0,19.0,17.0,0.0,6672.0,1056.0,3480.0,2550.0,22.0,14.333333333333334,54.154435827282974,55.66644362704981,-1.5120077997668357,qm,-1
13,140,160,37.0,15.0,21.0,0.0,7177.0,1329.0,3600.0,2900.0,52.0,20.0,58.17243775100925,68.21140961805771,-10.038971867048476,37.0,15.0,21.0,0.0,7177.0,1329.0,3600.0,2900.0,52.0,20.0,58.17243775100925,68.21140961805771,-10.038971867048476,qm,-20
14,267,119,25.0,25.0,11.0,0.0,8359.0,1796.0,4100.0,3450.0,64.0,6.333333333333333,92.85534961666518,53.3766705739419,39.47867904272327,25.0,25.0,11.0,0.0,8359.0,1796.0,4100.0,3450.0,64.0,6.333333333333333,92.85534961666518,53.3766705739419,39.47867904272327,qm,148
15,180,135,24.0,21.0,15.0,0.0,7177.0,1500.0,3900.0,2600.0,12.0,12.333333333333334,67.68018967446955,57.92181030385789,9.758379370611655,24.0,21.0,15.0,0.0,7177.0,1500.0,3900.0,2600.0,12.0,12.333333333333334,67.68018967446955,57.92181030385789,9.758379370611655,qm,45
16,254,165,38.0,23.0,13.0,0.0,7218.0,1280.0,3420.0,3100.0,68.0,11.666666666666666,70.01290284629954,50.30429598641521,19.70860685988433,38.0,23.0,13.0,0.0,7218.0,1280.0,3420.0,3100.0,68.0,11.666666666666666,70.01290284629954,50.30429598641521,19.70860685988433,qm,89
17,265,166,30.0,23.0,13.0,0.0,8852.0,1797.0,4380.0,3500.0,72.0,8.0,106.58403791783815,73.53361341353103,33.0504245043071,30.0,23.0,13.0,0.0,8852.0,1797.0,4380.0,3500.0,72.0,8.0,106.58403791783815,73.53361341353103,33.0504245043071,qm,99
18,169,210,43.0,17.0,19.0,0.0,6654.0,1648.0,3740.0,2250.0,49.0,17.666666666666668,51.79715875951746,68.347763023506,-16.550604263988554,43.0,17.0,19.0,0.0,6654.0,1648.0,3740.0,2250.0,49.0,17.666666666666668,51.79715875951746,68.347763023506,-16.550604263988554,qm,-41
19,145,190,16.0,11.0,25.0,0.0,7089.0,1334.0,3800.0,2600.0,19.0,25.0,65.90951741854616,85.35589261364312,-19.446375195096977,16.0,11.0,25.0,0.0,7089.0,1334.0,3800.0,2600.0,19.0,25.0,65.90951741854616,85.35589261364312,-19.446375195096977,qm,-45
20,230,195,42.0,20.0,16.0,0.0,7347.0,1477.0,3860.0,2850.0,17.0,13.333333333333334,80.51511602015428,57.74767511014477,22.767440910009515,42.0,20.0,16.0,0.0,7347.0,1477.0,3860.0,2850.0,17.0,13.333333333333334,80.51511602015428,57.74767511014477,22.767440910009515,qm,35
21,145,230,44.0,8.0,28.0,0.0,6257.0,1151.0,3500.0,2100.0,22.0,27.666666666666668,42.19071015909285,80.71977748852417,-38.529067329431335,44.0,8.0,28.0,0.0,6257.0,1151.0,3500.0,2100.0,22.0,27.666666666666668,42.19071015909285,80.71977748852417,-38.529067329431335,qm,-85
22,140,146,24.0,16.0,20.0,0.0,6569.0,1511.0,3380.0,2450.0,49.0,19.666666666666668,47.833243047144016,56.19719313113876,-8.36395008399473,24.0,16.0,20.0,0.0,6569.0,1511.0,3380.0,2450.0,49.0,19.666666666666668,47.833243047144016,56.19719313113876,-8.36395008399473,qm,-6
23,295,230,10.0,20.0,16.0,0.0,8210.0,1569.0,4080.0,3200.0,25.0,13.0,85.61719835208355,79.90922878615697,5.707969565926571,10.0,20.0,16.0,0.0,8210.0,1569.0,4080.0,3200.0,25.0,13.0,85.61719835208355,79.90922878615697,5.707969565926571,qm,65
24,336,145,39.0,24.0,12.0,0.0,8848.0,1917.0,4460.0,3500.0,63.0,6.666666666666667,107.38770847089917,52.811583576032376,54.576124894866815,39.0,24.0,12.0,0.0,8848.0,1917.0,4460.0,3500.0,63.0,6.666666666666667,107.38770847089917,52.811583576032376,54.576124894866815,qm,191
25,200,210,40.0,21.0,15.0,0.0,7332.0,1584.0,3800.0,2850.0,37.0,10.666666666666666,71.85966584049122,53.044848129192495,18.814817711298716,40.0,21.0,15.0,0.0,7332.0,1584.0,3800.0,2850.0,37.0,10.666666666666666,71.85966584049122,53.044848129192495,18.814817711298716,qm,-10
26,255,230,18.0,15.0,21.0,0.0,7133.0,1274.0,3700.0,2700.0,13.0,20.666666666666668,66.65020337149475,79.30122616936802,-12.651022797873276,18.0,15.0,21.0,0.0,7133.0,1274.0,3700.0,2700.0,13.0,20.666666666666668,66.65020337149475,79.30122616936802,-12.651022797873276,qm,25
