,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,149,305,20.0,12.0,12.0,0.0,5106.0,1082.0,2900.0,1700.0,76.0,6.666666666666667,77.33284831798666,67.83467467656006,9.498173641426606,20.0,12.0,12.0,0.0,5106.0,1082.0,2900.0,1700.0,76.0,6.666666666666667,77.33284831798666,67.83467467656006,9.498173641426606,f,-156
1,145,255,20.0,12.0,12.0,0.0,5106.0,1082.0,2900.0,1700.0,76.0,6.666666666666667,77.33284831798666,67.83467467656006,9.498173641426606,20.0,12.0,12.0,0.0,5106.0,1082.0,2900.0,1700.0,76.0,6.666666666666667,77.33284831798666,67.83467467656006,9.498173641426606,f,-110
2,90,187,8.0,11.0,13.0,0.0,4726.0,828.0,2700.0,1350.0,41.0,8.0,53.31997711782921,65.50514938989411,-12.185172272064905,8.0,11.0,13.0,0.0,4726.0,828.0,2700.0,1350.0,41.0,8.0,53.31997711782921,65.50514938989411,-12.185172272064905,qm,-97
3,205,230,10.0,9.0,15.0,0.0,4966.0,1033.0,2800.0,1750.0,21.0,9.333333333333334,71.86425927051043,85.47547778958271,-13.61121851907228,10.0,9.0,15.0,0.0,4966.0,1033.0,2800.0,1750.0,21.0,9.333333333333334,71.86425927051043,85.47547778958271,-13.61121851907228,qm,-25
4,222,200,18.0,12.0,12.0,0.0,4767.0,840.0,2660.0,1500.0,117.0,7.333333333333333,63.03465981334606,74.27656443455916,-11.241904621213095,18.0,12.0,12.0,0.0,4767.0,840.0,2660.0,1500.0,117.0,7.333333333333333,63.03465981334606,74.27656443455916,-11.241904621213095,qm,22
5,250,260,18.0,11.0,13.0,0.0,5106.0,1022.0,2800.0,1850.0,76.0,7.333333333333333,77.31108282936313,65.67233252637062,11.638750302992506,18.0,11.0,13.0,0.0,5106.0,1022.0,2800.0,1850.0,76.0,7.333333333333333,77.31108282936313,65.67233252637062,11.638750302992506,qm,-10
6,205,145,2.0,15.0,9.0,0.0,5026.0,752.0,2760.0,1600.0,31.0,4.666666666666667,69.66797057295305,54.58137366195248,15.086596911000578,2.0,15.0,9.0,0.0,5026.0,752.0,2760.0,1600.0,31.0,4.666666666666667,69.66797057295305,54.58137366195248,15.086596911000578,qm,60
7,135,160,17.0,10.0,14.0,0.0,4548.0,818.0,2620.0,1300.0,43.0,9.0,39.316228423047065,56.34233856775182,-17.02611014470475,17.0,10.0,14.0,0.0,4548.0,818.0,2620.0,1300.0,43.0,9.0,39.316228423047065,56.34233856775182,-17.02611014470475,qm,-25
8,200,370,7.0,11.0,13.0,0.0,4941.0,887.0,2840.0,1550.0,31.0,8.666666666666666,73.89887353369323,98.16610465548855,-24.267231121795323,7.0,11.0,13.0,0.0,4941.0,887.0,2840.0,1550.0,31.0,8.666666666666666,73.89887353369323,98.16610465548855,-24.267231121795323,qm,-170
9,155,180,27.0,11.0,13.0,0.0,5109.0,1042.0,2680.0,1650.0,29.0,7.666666666666667,70.80065029457637,73.03027812925755,-2.2296278346811698,27.0,11.0,13.0,0.0,5109.0,1042.0,2680.0,1650.0,29.0,7.666666666666667,70.80065029457637,73.03027812925755,-2.2296278346811698,qm,-25
10,205,235,19.0,11.0,13.0,0.0,5095.0,1215.0,2940.0,1600.0,95.0,7.666666666666667,81.36012930683479,87.34512130671061,-5.984991999875798,19.0,11.0,13.0,0.0,5095.0,1215.0,2940.0,1600.0,95.0,7.666666666666667,81.36012930683479,87.34512130671061,-5.984991999875798,qm,-30
11,180,235,9.0,14.0,10.0,0.0,5247.0,775.0,2800.0,1900.0,12.0,4.666666666666667,79.75935046196128,48.68791182425795,31.071438637703324,9.0,14.0,10.0,0.0,5247.0,775.0,2800.0,1900.0,12.0,4.666666666666667,79.75935046196128,48.68791182425795,31.071438637703324,qm,-55
12,324,195,29.0,13.0,11.0,0.0,5272.0,1011.0,2840.0,1750.0,112.0,6.0,88.02919000947678,80.56156302701459,7.4676269824621855,29.0,13.0,11.0,0.0,5272.0,1011.0,2840.0,1750.0,112.0,6.0,88.02919000947678,80.56156302701459,7.4676269824621855,qm,129
13,160,255,7.0,7.0,17.0,0.0,4435.0,800.0,2620.0,1350.0,50.0,12.0,41.72208257057842,87.55422718821045,-45.832144617632025,7.0,7.0,17.0,0.0,4435.0,800.0,2620.0,1350.0,50.0,12.0,41.72208257057842,87.55422718821045,-45.832144617632025,qm,-95
14,165,235,13.0,13.0,11.0,0.0,4858.0,1028.0,2760.0,1400.0,33.0,6.333333333333333,59.36702523397086,60.15705100681859,-0.7900257728477426,13.0,13.0,11.0,0.0,4858.0,1028.0,2760.0,1400.0,33.0,6.333333333333333,59.36702523397086,60.15705100681859,-0.7900257728477426,qm,-70
