,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,447,292,43.0,22.0,8.0,0.0,7335.0,1536.0,3480.0,2950.0,200.0,9.0,110.12009993790087,53.687213442083255,56.43288649581762,43.0,22.0,8.0,0.0,7335.0,1536.0,3480.0,2950.0,200.0,9.0,110.12009993790087,53.687213442083255,56.43288649581762,f,155
1,316,242,43.0,22.0,8.0,0.0,7335.0,1536.0,3480.0,2950.0,200.0,9.0,110.12009993790087,53.687213442083255,56.43288649581762,43.0,22.0,8.0,0.0,7335.0,1536.0,3480.0,2950.0,200.0,9.0,110.12009993790087,53.687213442083255,56.43288649581762,f,74
2,332,310,31.0,15.0,15.0,0.0,6414.0,1350.0,3100.0,2600.0,139.0,24.0,80.0750602955382,67.51649391866643,12.558566376871775,31.0,15.0,15.0,0.0,6414.0,1350.0,3100.0,2600.0,139.0,24.0,80.0750602955382,67.51649391866643,12.558566376871775,qf,22
3,305,255,31.0,15.0,15.0,0.0,6414.0,1350.0,3100.0,2600.0,139.0,24.0,80.0750602955382,67.51649391866643,12.558566376871775,31.0,15.0,15.0,0.0,6414.0,1350.0,3100.0,2600.0,139.0,24.0,80.0750602955382,67.51649391866643,12.558566376871775,qf,50
4,311,279,40.0,20.0,10.0,0.0,6881.0,960.0,3300.0,2900.0,136.0,10.666666666666666,90.72542619743541,62.83073806652169,27.89468813091372,40.0,20.0,10.0,0.0,6881.0,960.0,3300.0,2900.0,136.0,10.666666666666666,90.72542619743541,62.83073806652169,27.89468813091372,qf,32
5,285,275,40.0,20.0,10.0,0.0,6881.0,960.0,3300.0,2900.0,136.0,10.666666666666666,90.72542619743541,62.83073806652169,27.89468813091372,40.0,20.0,10.0,0.0,6881.0,960.0,3300.0,2900.0,136.0,10.666666666666666,90.72542619743541,62.83073806652169,27.89468813091372,qf,10
6,330,448,40.0,15.0,15.0,0.0,6698.0,1330.0,3180.0,2750.0,68.0,23.333333333333332,92.82967001284793,95.25379309549753,-2.4241230826495794,40.0,15.0,15.0,0.0,6698.0,1330.0,3180.0,2750.0,68.0,23.333333333333332,92.82967001284793,95.25379309549753,-2.4241230826495794,qf,-118
7,305,284,40.0,15.0,15.0,0.0,6698.0,1330.0,3180.0,2750.0,68.0,23.333333333333332,92.82967001284793,95.25379309549753,-2.4241230826495794,40.0,15.0,15.0,0.0,6698.0,1330.0,3180.0,2750.0,68.0,23.333333333333332,92.82967001284793,95.25379309549753,-2.4241230826495794,qf,21
8,255,341,40.0,15.0,15.0,0.0,6698.0,1330.0,3180.0,2750.0,68.0,23.333333333333332,92.82967001284793,95.25379309549753,-2.4241230826495794,40.0,15.0,15.0,0.0,6698.0,1330.0,3180.0,2750.0,68.0,23.333333333333332,92.82967001284793,95.25379309549753,-2.4241230826495794,qf,-86
9,403,305,17.0,17.0,13.0,0.0,6230.0,1230.0,3020.0,2500.0,105.0,19.666666666666668,66.59927995749585,68.32926929342695,-1.7299893359310967,17.0,17.0,13.0,0.0,6230.0,1230.0,3020.0,2500.0,105.0,19.666666666666668,66.59927995749585,68.32926929342695,-1.7299893359310967,qf,98
