,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,301,310,27.0,19.0,15.0,2.0,9452.0,2276.0,4460.0,4050.0,232.0,17.0,99.95188035681271,79.45055148269678,20.501328874115924,27.0,19.0,15.0,2.0,9452.0,2276.0,4460.0,4050.0,232.0,17.0,99.95188035681271,79.45055148269678,20.501328874115924,f,-9
1,291,311,27.0,19.0,15.0,2.0,9452.0,2276.0,4460.0,4050.0,232.0,17.0,99.95188035681271,79.45055148269678,20.501328874115924,27.0,19.0,15.0,2.0,9452.0,2276.0,4460.0,4050.0,232.0,17.0,99.95188035681271,79.45055148269678,20.501328874115924,f,-20
2,285,305,28.0,20.0,15.0,1.0,8678.0,1932.0,4060.0,3850.0,58.0,13.0,79.28060751988443,71.27915003953649,8.00145748034794,28.0,20.0,15.0,1.0,8678.0,1932.0,4060.0,3850.0,58.0,13.0,79.28060751988443,71.27915003953649,8.00145748034794,qf,-20
3,235,305,28.0,20.0,15.0,1.0,8678.0,1932.0,4060.0,3850.0,58.0,13.0,79.28060751988443,71.27915003953649,8.00145748034794,28.0,20.0,15.0,1.0,8678.0,1932.0,4060.0,3850.0,58.0,13.0,79.28060751988443,71.27915003953649,8.00145748034794,qf,-70
4,255,300,17.0,18.0,17.0,1.0,9173.0,1811.0,4380.0,4000.0,83.0,16.666666666666668,96.4832893683869,92.46568187861213,4.017607489774761,17.0,18.0,17.0,1.0,9173.0,1811.0,4380.0,4000.0,83.0,16.666666666666668,96.4832893683869,92.46568187861213,4.017607489774761,qf,-45
5,285,319,17.0,18.0,17.0,1.0,9173.0,1811.0,4380.0,4000.0,83.0,16.666666666666668,96.4832893683869,92.46568187861213,4.017607489774761,17.0,18.0,17.0,1.0,9173.0,1811.0,4380.0,4000.0,83.0,16.666666666666668,96.4832893683869,92.46568187861213,4.017607489774761,qf,-34
6,255,461,32.0,16.0,18.0,1.0,8413.0,1914.0,4220.0,3450.0,78.0,23.333333333333332,78.33218542433501,96.76336762837089,-18.431182204035874,32.0,16.0,18.0,1.0,8413.0,1914.0,4220.0,3450.0,78.0,23.333333333333332,78.33218542433501,96.76336762837089,-18.431182204035874,qf,-206
7,285,467,32.0,16.0,18.0,1.0,8413.0,1914.0,4220.0,3450.0,78.0,23.333333333333332,78.33218542433501,96.76336762837089,-18.431182204035874,32.0,16.0,18.0,1.0,8413.0,1914.0,4220.0,3450.0,78.0,23.333333333333332,78.33218542433501,96.76336762837089,-18.431182204035874,qf,-182
8,255,307,21.0,21.0,14.0,1.0,8909.0,1802.0,4380.0,3800.0,44.0,11.333333333333334,80.07761993673523,81.44188529863044,-1.3642653618951996,21.0,21.0,14.0,1.0,8909.0,1802.0,4380.0,3800.0,44.0,11.333333333333334,80.07761993673523,81.44188529863044,-1.3642653618951996,qf,-52
9,285,335,21.0,21.0,14.0,1.0,8909.0,1802.0,4380.0,3800.0,44.0,11.333333333333334,80.07761993673523,81.44188529863044,-1.3642653618951996,21.0,21.0,14.0,1.0,8909.0,1802.0,4380.0,3800.0,44.0,11.333333333333334,80.07761993673523,81.44188529863044,-1.3642653618951996,qf,-50
10,305,215,12.0,20.0,15.0,1.0,8731.0,1672.0,4300.0,3700.0,51.0,15.0,78.54190141371917,67.12876793796441,11.413133475754762,12.0,20.0,15.0,1.0,8731.0,1672.0,4300.0,3700.0,51.0,15.0,78.54190141371917,67.12876793796441,11.413133475754762,qm,90
