,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,305,37.0,15.0,5.0,1.0,3902.0,970.0,2080.0,1300.0,2.0,15.333333333333334,80.63162493440518,34.379522478355064,46.252102456050125,16.0,14.0,9.0,1.0,4700.0,960.0,2340.0,1800.0,0.0,18.333333333333332,101.04136045291618,27.255818757297135,73.78554169561905,f,-50
1,165,240,37.0,15.0,5.0,1.0,3902.0,970.0,2080.0,1300.0,2.0,15.333333333333334,80.63162493440518,34.379522478355064,46.252102456050125,16.0,14.0,9.0,1.0,4700.0,960.0,2340.0,1800.0,0.0,18.333333333333332,101.04136045291618,27.255818757297135,73.78554169561905,f,-75
2,205,255,12.0,13.0,10.0,1.0,4261.0,775.0,2240.0,1400.0,1.0,17.666666666666668,83.76923588234956,69.04672358715125,14.72251229519832,16.0,18.0,5.0,1.0,5066.0,1166.0,2720.0,1850.0,1.0,7.666666666666667,101.14109183560235,27.647941285365885,73.49315055023646,qf,-50
3,255,255,12.0,13.0,10.0,1.0,4261.0,775.0,2240.0,1400.0,1.0,17.666666666666668,83.76923588234956,69.04672358715125,14.72251229519832,16.0,18.0,5.0,1.0,5066.0,1166.0,2720.0,1850.0,1.0,7.666666666666667,101.14109183560235,27.647941285365885,73.49315055023646,qf,0
4,215,256,12.0,13.0,10.0,1.0,4261.0,775.0,2240.0,1400.0,1.0,17.666666666666668,83.76923588234956,69.04672358715125,14.72251229519832,16.0,18.0,5.0,1.0,5066.0,1166.0,2720.0,1850.0,1.0,7.666666666666667,101.14109183560235,27.647941285365885,73.49315055023646,qf,-41
5,215,235,20.0,13.0,11.0,0.0,4325.0,785.0,2320.0,1500.0,0.0,23.666666666666668,67.25115238485218,51.60010136613312,15.65105101871906,16.0,14.0,9.0,1.0,4700.0,960.0,2340.0,1800.0,0.0,18.333333333333332,101.04136045291618,27.255818757297135,73.78554169561905,qf,-20
6,220,305,20.0,13.0,11.0,0.0,4325.0,785.0,2320.0,1500.0,0.0,23.666666666666668,67.25115238485218,51.60010136613312,15.65105101871906,16.0,14.0,9.0,1.0,4700.0,960.0,2340.0,1800.0,0.0,18.333333333333332,101.04136045291618,27.255818757297135,73.78554169561905,qf,-85
7,195,255,18.0,16.0,6.0,1.0,3806.0,686.0,2140.0,1300.0,1.0,10.666666666666666,57.0643434553181,51.352019174195476,5.712324281122629,37.0,15.0,5.0,1.0,3902.0,970.0,2080.0,1300.0,2.0,15.333333333333334,80.63162493440518,34.379522478355064,46.252102456050125,qf,-60
8,200,250,18.0,16.0,6.0,1.0,3806.0,686.0,2140.0,1300.0,1.0,10.666666666666666,57.0643434553181,51.352019174195476,5.712324281122629,37.0,15.0,5.0,1.0,3902.0,970.0,2080.0,1300.0,2.0,15.333333333333334,80.63162493440518,34.379522478355064,46.252102456050125,qf,-50
9,305,306,24.0,13.0,10.0,1.0,4401.0,915.0,2440.0,1250.0,6.0,20.333333333333332,82.87392600449395,51.578391966600854,31.295534037893095,28.0,16.0,8.0,0.0,4455.0,1085.0,2380.0,1550.0,0.0,15.0,78.11943045254999,60.30468512673601,17.81474532581399,qf,-1
