,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,245,306,25.0,25.0,8.0,0.0,6929.0,1286.0,3280.0,2700.0,39.0,6.333333333333333,83.62188024348,48.0978683082447,35.5240119352353,25.0,25.0,8.0,0.0,6929.0,1286.0,3280.0,2700.0,39.0,6.333333333333333,83.62188024348,48.0978683082447,35.5240119352353,f,-61
1,285,285,25.0,25.0,8.0,0.0,6929.0,1286.0,3280.0,2700.0,39.0,6.333333333333333,83.62188024348,48.0978683082447,35.5240119352353,25.0,25.0,8.0,0.0,6929.0,1286.0,3280.0,2700.0,39.0,6.333333333333333,83.62188024348,48.0978683082447,35.5240119352353,f,0
2,255,275,25.0,25.0,8.0,0.0,6929.0,1286.0,3280.0,2700.0,39.0,6.333333333333333,83.62188024348,48.0978683082447,35.5240119352353,25.0,25.0,8.0,0.0,6929.0,1286.0,3280.0,2700.0,39.0,6.333333333333333,83.62188024348,48.0978683082447,35.5240119352353,f,-20
3,275,330,25.0,18.0,15.0,0.0,6500.0,1085.0,3300.0,2350.0,20.0,17.666666666666668,76.86606156268009,47.81524477380801,29.050816788872083,25.0,18.0,15.0,0.0,6500.0,1085.0,3300.0,2350.0,20.0,17.666666666666668,76.86606156268009,47.81524477380801,29.050816788872083,qf,-55
4,240,258,25.0,18.0,15.0,0.0,6500.0,1085.0,3300.0,2350.0,20.0,17.666666666666668,76.86606156268009,47.81524477380801,29.050816788872083,25.0,18.0,15.0,0.0,6500.0,1085.0,3300.0,2350.0,20.0,17.666666666666668,76.86606156268009,47.81524477380801,29.050816788872083,qf,-18
5,275,291,34.0,19.0,13.0,0.0,6244.0,1269.0,3080.0,2550.0,54.0,18.0,77.5394864156592,50.74567030371866,26.79381611194053,34.0,19.0,13.0,0.0,6244.0,1269.0,3080.0,2550.0,54.0,18.0,77.5394864156592,50.74567030371866,26.79381611194053,qf,-16
6,205,215,34.0,19.0,13.0,0.0,6244.0,1269.0,3080.0,2550.0,54.0,18.0,77.5394864156592,50.74567030371866,26.79381611194053,34.0,19.0,13.0,0.0,6244.0,1269.0,3080.0,2550.0,54.0,18.0,77.5394864156592,50.74567030371866,26.79381611194053,qf,-10
7,295,260,34.0,18.0,15.0,0.0,6703.0,839.0,3240.0,2550.0,148.0,17.333333333333332,84.37391837222613,61.4719916797265,22.901926692499643,34.0,18.0,15.0,0.0,6703.0,839.0,3240.0,2550.0,148.0,17.333333333333332,84.37391837222613,61.4719916797265,22.901926692499643,qf,35
8,242,305,34.0,18.0,15.0,0.0,6703.0,839.0,3240.0,2550.0,148.0,17.333333333333332,84.37391837222613,61.4719916797265,22.901926692499643,34.0,18.0,15.0,0.0,6703.0,839.0,3240.0,2550.0,148.0,17.333333333333332,84.37391837222613,61.4719916797265,22.901926692499643,qf,-63
9,245,255,34.0,18.0,15.0,0.0,6703.0,839.0,3240.0,2550.0,148.0,17.333333333333332,84.37391837222613,61.4719916797265,22.901926692499643,34.0,18.0,15.0,0.0,6703.0,839.0,3240.0,2550.0,148.0,17.333333333333332,84.37391837222613,61.4719916797265,22.901926692499643,qf,-10
10,115,260,10.0,21.0,12.0,0.0,6153.0,1207.0,3340.0,2150.0,23.0,11.666666666666666,67.33386878924081,46.85025756586682,20.483611223373988,10.0,21.0,12.0,0.0,6153.0,1207.0,3340.0,2150.0,23.0,11.666666666666666,67.33386878924081,46.85025756586682,20.483611223373988,qf,-145
11,111,235,10.0,21.0,12.0,0.0,6153.0,1207.0,3340.0,2150.0,23.0,11.666666666666666,67.33386878924081,46.85025756586682,20.483611223373988,10.0,21.0,12.0,0.0,6153.0,1207.0,3340.0,2150.0,23.0,11.666666666666666,67.33386878924081,46.85025756586682,20.483611223373988,qf,-124
12,141,45,15.0,19.0,14.0,0.0,6159.0,1135.0,3000.0,2550.0,29.0,16.0,75.86269025474053,47.4516543577863,28.411035896954218,15.0,19.0,14.0,0.0,6159.0,1135.0,3000.0,2550.0,29.0,16.0,75.86269025474053,47.4516543577863,28.411035896954218,qm,96
13,135,90,29.0,15.0,18.0,0.0,5941.0,728.0,2920.0,2500.0,11.0,27.0,61.30420484306067,62.18837756055539,-0.8841727174947257,29.0,15.0,18.0,0.0,5941.0,728.0,2920.0,2500.0,11.0,27.0,61.30420484306067,62.18837756055539,-0.8841727174947257,qm,45
14,135,205,19.0,16.0,17.0,0.0,5393.0,970.0,2920.0,1950.0,28.0,27.333333333333332,49.34193456861815,48.648263495191514,0.6936710734266379,19.0,16.0,17.0,0.0,5393.0,970.0,2920.0,1950.0,28.0,27.333333333333332,49.34193456861815,48.648263495191514,0.6936710734266379,qm,-70
